hit_speed,hit_angle
104.5,12
76,42
94.1,25
97.9,37
94.7,33
79.9,4
90.3,53
98.8,4
93.7,61
103.9,14
96,6
99.3,41
90.9,55
100.8,48
102.7,56
85.8,51
96.5,62
71.9,-3
92.7,28
69.2,52
105.8,23
56.6,-33
66.6,-13
103.3,17
62.7,-15
87.9,-8
94.9,60
98.3,23
105.8,9
80.9,23
95.4,-20
107.2,26
84.2,51
101.6,36
93.3,46
98.8,7
95.7,40
64.4,-16
99.2,34
103.5,33
82,4
104.3,19
50,-23
103.7,26
103.7,26
105.2,42
97.7,26
93.5,47
88.6,47
107.4,42
81.3,14
92.1,19
105.4,32
68.8,-0
92.7,39
90.1,79
105.7,10
80.4,-3
76,68
102,5
81.5,38
103.3,9
65.6,23
95.3,31
90.3,11
89.4,-24
51.8,-43
90.9,47
65.2,54
101.4,41
77.3,54
104,21
76.5,57
81.9,83
91.9,30
67.4,-39
85.7,-28
93.8,39
104.7,40
94.7,51
105.2,14
72.4,35
103.5,33
102.5,35
93,3
99.3,7
97.7,-0
79.7,16
88.4,46
101.9,40
104.7,44
80.5,19
103.6,19
101.3,35
102,25
108.1,25
94.5,57
99.1,56
103.4,36
93.3,2
95.5,20
104.4,20
105.7,27
89.1,13
99,29
78.7,26
101.9,26
94.6,54
94.4,44
100.6,34
95.7,37
87.6,69
88.2,85
105.3,23
74.3,53
104.9,43
95.7,38
84.8,40
102.3,24
103.7,31
106.6,24
89.5,23
95.1,54
75.2,62
104.3,37
97.8,48
86.4,-13
101.2,20
107.2,16
91.3,34
86,47
67.5,46
71.2,39
101.9,31
92.6,59
102.8,52
79.6,4
71.7,27
85.8,28
94.4,23
69,25
71.7,23
102.7,49
100.7,49
92.4,26
98.1,29
81.8,-11
109.4,26
102.5,41
70.8,-9
